"","x"
"1357",8766
"1358",8807
"1359",8820
"1360",8823
"1361",8824
"1362",8858
"1363",8859
"1364",8861
"1365",8867
"1366",8886
"1367",8889
"1368",8903
"1369",8920
"1370",8921
"1371",8929
"1372",8933
"1373",8941
"1374",8942
"1375",8943
"1376",8944
"1377",8945
"1378",8961
"1379",8967
"1380",8972
"1381",8980
"1382",8982
"1383",8984
"1384",8987
"1385",8993
"1386",9000
"1387",9001
"1388",9050
"1389",9060
"1390",9063
"1391",9068
"1392",9070
"1393",9073
"1394",9086
"1395",9087
"1396",9088
"1397",9089
"1398",9090
"1399",9091
"1400",9099
"1401",9107
"1402",9108
"1403",9115
"1404",9121
"1405",9129
"1406",9153
"1407",9168
"1408",9176
"1409",9187
"1410",9192
"1411",9193
"1412",9217
"1413",9225
"1414",9229
"1415",9232
"1416",9245
"1417",9308
"1418",9310
"1419",9311
"1420",9312
"1421",9313
"1422",9316
"1423",9317
"1424",9322
"1425",9325
"1426",9328
"1427",9380
"1428",9381
"1429",9382
"1430",9388
"1431",9389
"1432",9394
"1433",9402
"1434",9418
"1435",9429
"1436",9434
"1437",9453
"1438",9460
"1439",9461
"1440",9479
"1441",9480
"1442",9483
"1443",9484
"1444",9485
"1445",9488
"1446",9490
"1447",9493
"1448",9534
"1449",9536
"1450",9539
"1451",9552
"1452",9557
"1453",9558
"1454",9567
"1455",9581
"1456",9582
"1457",9600
"1458",9621
"1459",9624
"1460",9625
"1461",9637
"1462",9642
"1463",9643
"1464",9648
"1465",9658
"1466",9659
"1467",9664
"1468",9670
"1469",9674
"1470",9680
"1471",9681
"1472",9684
"1473",9686
"1474",9691
"1475",9692
"1476",9693
"1477",9694
"1478",9703
"1479",9705
"1480",9706
"1481",9719
"1482",9725
"1483",9726
"1484",9739
"1485",9741
"1486",9744
"1487",9751
"1488",9756
"1489",9768
"1490",9772
"1491",9774
"1492",9781
"1493",9782
"1494",9783
"1495",9785
"1496",9786
"1497",9788
"1498",9797
"1499",9798
"1500",9799
"1501",9802
"1502",9805
"1503",9807
"1504",9816
"1505",9823
"1506",9828
"1507",9831
"1508",9832
"1509",9833
"1510",9847
"1511",9865
"1512",9876
"1513",9879
"1514",9885
"1515",9886
"1516",9906
"1517",9913
"1518",9914
"1519",9916
"1520",9917
"1521",9928
"1522",9929
"1523",9939
"1524",9940
"1525",9941
"1526",9949
"1527",9950
"1528",9954
"1529",9970
"1530",9976
"1531",9985
"1532",10002
"1533",10009
"1534",10013
"1535",10015
"1536",10023
"1537",10029
"1538",10059
"1539",10061
"1540",10064
"1541",10065
"1542",10069
"1543",10070
"1544",10071
"1545",10075
"1546",10080
"1547",10081
"1548",10082
"1549",10083
"1550",10096
"1551",10097
"1552",10104
"1553",10105
"1554",10106
"1555",10107
"1556",10115
"1557",10116
"1558",10117
"1559",10118
"1560",10119
"1561",10120
"1562",10121
"1563",10122
"1564",10133
"1565",10134
"1566",10143
"1567",10164
"1568",10172
"1569",10173
"1570",10174
"1571",10175
"1572",10176
"1573",10177
"1574",10178
"1575",10180
"1576",10182
"1577",10183
"1578",10198
"1579",10200
"1580",10205
"1581",10206
"1582",10209
"1583",10213
"1584",10214
"1585",10223
"1586",10225
"1587",10230
"1588",10236
"1589",10237
"1590",10247
"1591",10249
"1592",10255
"1593",10261
"1594",10268
"1595",10271
"1596",10272
"1597",10273
"1598",10278
"1599",10294
"1600",10295
"1601",10296
"1602",10309
"1603",10310
"1604",10316
"1605",10320
"1606",10321
"1607",10328
"1608",10334
"1609",10335
"1610",10339
"1611",10340
"1612",10343
"1613",10348
"1614",10359
"1615",10368
"1616",10370
"1617",10371
"1618",10374
"1619",10377
"1620",10394
"1621",10397
"1622",10398
"1623",10400
"1624",10401
"1625",10402
"1626",10403
"1627",10422
"1628",10423
"1629",10424
"1630",10427
"1631",10434
"1632",10435
"1633",10437
"1634",10438
"1635",10439
"1636",10440
"1637",10441
"1638",10442
"1639",10443
"1640",10444
"1641",10445
"1642",10446
"1643",10447
"1644",10448
"1645",10449
"1646",10450
"1647",10451
"1648",10452
"1649",10453
"1650",10454
"1651",10457
"1652",10461
"1653",10462
"1654",10469
"1655",10474
"1656",10483
"1657",10497
"1658",10501
"1659",10503
"1660",10516
"1661",10529
"1662",10535
"1663",10536
"1664",10537
"1665",10540
"1666",10542
"1667",10543
"1668",10544
"1669",10545
"1670",10546
"1671",10566
"1672",10572
"1673",10574
"1674",10575
"1675",10576
"1676",10577
"1677",10578
"1678",10593
"1679",10597
"1680",10603
"1681",10609
"1682",10621
"1683",10622
"1684",10627
"1685",10630
"1686",10631
"1687",10632
"1688",10641
"1689",10650
"1690",10659
"1691",10661
"1692",10662
"1693",10663
"1694",10667
"1695",10668
"1696",10690
"1697",10692
"1698",10693
"1699",10694
"1700",10696
"1701",10700
"1702",10703
"1703",10714
"1704",10715
"1705",10720
"1706",10721
"1707",10730
"1708",10732
"1709",10733
"1710",10736
"1711",10737
"1712",10739
"1713",10740
"1714",10748
"1715",10749
"1716",10750
"1717",10754
"1718",10769
"1719",10770
"1720",10778
"1721",10780
"1722",10782
"1723",10791
"1724",10794
"1725",10797
"1726",10803
"1727",10807
"1728",10810
"1729",10811
"1730",10812
"1731",10813
"1732",10814
"1733",10815
"1734",10816
"1735",10817
"1736",10818
"1737",10819
"1738",10820
"1739",10821
"1740",10839
"1741",10846
"1742",10856
"1743",10861
"1744",10862
"1745",10863
"1746",10867
"1747",10875
"1748",10877
"1749",10880
"1750",10881
"1751",10891
"1752",10895
"1753",10897
"1754",10908
"1755",10926
"1756",10929
"1757",10938
"1758",10939
"1759",10947
"1760",10948
"1761",10949
"1762",10954
"1763",10962
"1764",10968
"1765",10974
"1766",10976
"1767",10977
"1768",10992
"1769",10995
"1770",10996
"1771",11001
"1772",11006
"1773",11015
"1774",11017
"1775",11020
"1776",11024
"1777",11025
"1778",11028
"1779",11043
"1780",11047
"1781",11051
"1782",11055
"1783",11070
"1784",11074
"1785",11075
"1786",11076
"1787",11084
"1788",11085
"1789",11086
"1790",11087
"1791",11088
"1792",11090
"1793",11091
"1794",11095
"1795",11096
"1796",11097
"1797",11100
"1798",11101
"1799",11103
"1800",11107
"1801",11133
"1802",11143
"1803",11145
"1804",11163
"1805",11175
"1806",11177
"1807",11178
"1808",11180
"1809",11182
"1810",11185
